Total images: 7049
Detected images: 6994
Not detected images: 55
Average accuracy: 98.99213611667143%
image_index,detected,accuracy
1353,True,1.0
1354,True,0.9666666666666667
1355,True,0.9666666666666667
1356,True,0.9666666666666667
1357,True,0.9666666666666667
1358,True,0.9666666666666667
1359,True,1.0
1360,True,1.0
1361,True,0.9666666666666667
1362,True,1.0
1363,True,1.0
1364,True,1.0
1365,True,1.0
1366,True,0.9666666666666667
1367,True,0.9666666666666667
1368,True,0.9666666666666667
1369,True,0.9666666666666667
1370,True,0.9666666666666667
1371,True,0.9666666666666667
1372,True,1.0
1373,True,1.0
1374,True,0.9666666666666667
1375,True,0.9666666666666667
1376,True,1.0
1377,True,0.9666666666666667
1378,True,0.9666666666666667
1379,True,1.0
1380,True,0.9666666666666667
1381,True,1.0
1382,True,0.9666666666666667
1383,True,1.0
1384,True,1.0
1385,True,0.9666666666666667
1386,True,1.0
1387,True,1.0
1388,True,0.9666666666666667
1389,True,0.9666666666666667
1390,True,0.9666666666666667
1391,True,1.0
1392,True,1.0
1393,True,1.0
1394,True,0.9666666666666667
1395,True,1.0
1396,True,0.9666666666666667
1397,True,1.0
1398,True,1.0
1399,True,0.9666666666666667
1400,True,1.0
1401,True,0.9666666666666667
1402,True,1.0
1403,True,0.9666666666666667
1404,True,1.0
1405,True,0.9666666666666667
1406,True,0.9666666666666667
1407,True,1.0
1408,True,0.9666666666666667
1409,True,1.0
1410,True,1.0
1411,True,0.9666666666666667
1412,True,0.9666666666666667
1413,True,1.0
1414,True,1.0
1415,True,1.0
1416,True,0.9666666666666667
1417,True,1.0
1418,True,1.0
1419,True,1.0
1420,True,0.9666666666666667
1421,True,1.0
1422,True,1.0
1423,True,1.0
1424,True,1.0
1425,True,1.0
1426,True,1.0
1427,True,0.9666666666666667
1428,True,0.9666666666666667
1429,True,0.9666666666666667
1430,True,0.9666666666666667
1431,True,1.0
1432,True,0.9666666666666667
1433,True,0.9666666666666667
1434,True,1.0
1435,True,1.0
1436,True,0.9666666666666667
1437,True,0.9666666666666667
1438,True,0.9666666666666667
1439,True,0.9666666666666667
1440,True,1.0
1441,True,1.0
1442,True,0.9666666666666667
1443,True,1.0
1444,True,0.9666666666666667
1445,True,0.9666666666666667
1446,True,1.0
1447,True,1.0
1448,True,0.9666666666666667
1449,True,1.0
1450,True,1.0
1451,True,1.0
1452,True,1.0
1453,True,0.9666666666666667
1454,True,1.0
1455,True,0.9666666666666667
